
 num     #instances         #bytes  class name
 105:          1080          43200  scala.collection.mutable.HashSet
 106:           108          41984  [Lio.netty.buffer.PoolSubpage;
 107:           569          40968  org.apache.spark.sql.catalyst.expressions.objects.Invoke
 108:          1615          38760  org.apache.spark.sql.catalyst.expressions.ExprId
 109:           591          37824  scala.reflect.runtime.SynchronizedOps$$anon$1
 110:          1555          37320  org.apache.spark.util.collection.BitSet
 111:           920          36800  org.spark_project.guava.collect.MapMakerInternalMap$WeakEntry
 112:           557          35648  org.apache.spark.sql.catalyst.expressions.Cast
 113:           151          33936  [Ljava.util.Hashtable$Entry;
 114:           516          33024  java.net.URL
 115:          1369          32856  org.apache.spark.rdd.RDDOperationScope
 116:             1          32784  [Lorg.apache.spark.unsafe.memory.MemoryBlock;
 117:          1013          32416  scala.reflect.internal.Types$MethodType
 118:           798          31920  org.antlr.v4.runtime.atn.LexerATNConfig
 119:           635          30480  org.apache.kafka.common.metrics.stats.SampledStat$Sample
 120:           952          30464  org.apache.spark.ui.scope.RDDOperationGraph
 121:          1263          30312  scala.collection.immutable.Set$Set2
 122:           367          29360  org.apache.spark.ui.jobs.UIData$JobUIData
 123:            19          29072  [Ljava.nio.ByteBuffer;
 124:           720          28800  org.apache.spark.streaming.kafka010.OffsetRange
 125:           867          27744  org.antlr.v4.runtime.atn.SingletonPredictionContext
 126:           854          27328  scala.reflect.internal.Names$TypeName_R
 127:           421          26944  org.apache.spark.sql.catalyst.expressions.objects.StaticInvoke
 128:           829          26528  scala.reflect.internal.Names$TermName_S
 129:           826          26432  java.util.concurrent.locks.ReentrantLock$NonfairSync
 130:           400          25600  java.util.concurrent.ConcurrentHashMap
 131:           520          24960  org.apache.spark.sql.catalyst.expressions.Literal
 132:          1555          24880  org.apache.spark.util.collection.OpenHashSet$IntHasher
 133:           995          23880  org.apache.spark.util.CallSite
 134:           588          23520  java.lang.ref.Finalizer
 135:           416          23296  java.lang.Package
 136:           364          23296  org.apache.spark.sql.catalyst.expressions.Add
 137:           206          23072  org.apache.spark.scheduler.ShuffleMapTask
 138:           395          22120  scala.reflect.internal.Types$ClassArgsTypeRef
 139:           275          22000  scala.reflect.internal.Types$ClassInfoType
 140:           909          21816  scala.collection.immutable.HashSet$HashSet1
 141:           226          21696  java.util.jar.JarFile$JarFileEntry
 142:           490          19600  org.apache.spark.executor.ShuffleReadMetrics
 143:           122          19520  org.apache.spark.sql.execution.aggregate.HashAggregateExec
 144:            33          19008  io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue
 145:           593          18976  org.apache.kafka.common.MetricName
 146:           592          18944  org.apache.kafka.common.metrics.KafkaMetric
 147:           212          18656  org.apache.spark.sql.execution.WholeStageCodegenExec
 148:           462          18480  org.apache.spark.sql.types.StructType
 149:           184          17664  org.apache.spark.sql.catalyst.expressions.aggregate.Sum
 150:           719          17256  java.util.concurrent.CopyOnWriteArrayList
 151:           212          16960  org.apache.spark.sql.execution.InputAdapter
 152:             7          16688  [[C
 153:           345          16560  org.antlr.v4.runtime.atn.RuleStartState
 154:           185          16280  org.codehaus.janino.ReflectionIClass
 155:            43          16168  java.lang.Thread
 156:           336          16128  java.util.WeakHashMap
 157:           246          15744  org.apache.spark.sql.catalyst.expressions.aggregate.AggregateExpression
 158:           653          15672  java.util.concurrent.ConcurrentLinkedQueue$Node
 159:           957          15312  scala.reflect.ClassTag$$anon$1
 160:           633          15192  sun.reflect.annotation.AnnotationInvocationHandler
 161:           144          14976  org.apache.spark.streaming.kafka010.KafkaRDD
 162:           232          14848  java.util.jar.JarFile
 163:           920          14720  org.spark_project.guava.collect.MapMakerInternalMap$StrongValueReference
 164:           366          14640  [[Lscala.collection.immutable.Iterable;
 165:           366          14640  scala.collection.immutable.HashMap$HashTrieMap$$anon$1
 166:           462          14592  [Lorg.apache.spark.sql.types.StructField;
 167:           603          14472  scala.collection.immutable.Map$Map1
 168:           355          14200  org.antlr.v4.runtime.atn.BlockEndState
 169:            67          14056  [Z
 170:           249          13944  sun.nio.cs.UTF_8$Encoder
 171:           345          13800  org.antlr.v4.runtime.atn.RuleStopState
 172:           246          13776  sun.misc.URLClassPath$JarLoader
 173:           424          13568  org.antlr.v4.runtime.atn.RuleTransition
 174:           188          13536  scala.reflect.internal.Types$AbstractNoArgsTypeRef
 175:           240          13440  org.apache.spark.sql.catalyst.expressions.SortOrder
