Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
17.272: [GC (Allocation Failure) [PSYoungGen: 126278K->1150K(147968K)] 197711K->73189K(488448K), 0.0058227 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
17.393: [GC (Allocation Failure) [PSYoungGen: 128126K->1579K(148992K)] 200165K->73866K(489472K), 0.0046182 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
17.487: [GC (Allocation Failure) [PSYoungGen: 128555K->1804K(150528K)] 200842K->74403K(491008K), 0.0051490 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
17.598: [GC (Allocation Failure) [PSYoungGen: 133388K->744K(151552K)] 205987K->73542K(492032K), 0.0055437 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
17.828: [GC (Allocation Failure) [PSYoungGen: 132328K->4644K(152576K)] 205126K->77667K(493056K), 0.0053633 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
17.930: [GC (Allocation Failure) [PSYoungGen: 140035K->2490K(153600K)] 213057K->77023K(494080K), 0.0297018 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
18.040: [GC (Allocation Failure) [PSYoungGen: 138170K->5352K(154624K)] 212703K->79988K(495104K), 0.0047065 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
18.105: [GC (Allocation Failure) [PSYoungGen: 145128K->3564K(155648K)] 219764K->78392K(496128K), 0.0042752 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
18.174: [GC (Allocation Failure) [PSYoungGen: 143340K->4400K(156672K)] 218168K->79332K(497152K), 0.0106123 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
18.271: [GC (Allocation Failure) [PSYoungGen: 148272K->1072K(157696K)] 223204K->76195K(498176K), 0.0039495 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
18.341: [GC (Allocation Failure) [PSYoungGen: 144944K->1598K(159232K)] 220067K->76849K(499712K), 0.0044092 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
18.409: [GC (Allocation Failure) [PSYoungGen: 149054K->4376K(160256K)] 224305K->79731K(500736K), 0.0046249 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
